Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Phase 1,Phase 2,Facebook,Twitter,Youtube,Website,Category,MSA_Name,Unique ID,Map Display
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"399 E. Highland Ave., Suite 501, San Bernardino, CA (34.135774, -117.27715)","399 E. Highland Ave., Suite 501",San Bernardino,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1009,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"4646 Brockton Ave., Suite 203, Riverside, CA (33.975671, -117.386171)","4646 Brockton Ave., Suite 203",Riverside,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1010,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2876 Sycamore Dr., Suite 201, Simi Valley, CA (34.287877, -118.743237)","2876 Sycamore Dr., Suite 201",Simi Valley,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1011,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"999 N. Tustin Ave., Suite 212, Santa Ana, CA (33.753018, -117.832557)","999 N. Tustin Ave., Suite 212",Santa Ana,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1012,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"31515 Rancho Pueblo Rd., Suite 202, Temecula, CA (33.4789, -117.110576)","31515 Rancho Pueblo Rd., Suite 202",Temecula,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1013,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"425 Haaland Dr., Suite 103, Thousand Oaks, CA (34.175686, -118.869305)","425 Haaland Dr., Suite 103",Thousand Oaks,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1014,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1060 E. Foothill Blvd., Suite 102, Upland, CA (34.106678, -117.637122)","1060 E. Foothill Blvd., Suite 102",Upland,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1015,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"10001 S. Eastern Ave., Suite 301, Henderson, NV (36.005378, -115.114385)","10001 S. Eastern Ave., Suite 301",Henderson,NV,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1016,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"21605 Hawthorne Blvd., Suite 200, Torrance, CA (33.832025, -118.353419)","21605 Hawthorne Blvd., Suite 200",Torrance,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1017,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"23861 McBean Pkwy, Suite E28, Valencia, CA (34.396357, -118.554757)","23861 McBean Pkwy, Suite E28",Valencia,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1018,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"12370 Hesperia Rd., Suite 17, Victorville, CA (34.476333, -117.291465)","12370 Hesperia Rd., Suite 17",Victorville,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1019,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"8135 S. Painter Ave., Suite 103, Whittier, CA (33.965783, -118.033071)","8135 S. Painter Ave., Suite 103",Whittier,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1020,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2067 W. Vista Way, Suite 295, Vista, CA (33.185814, -117.286565)","2067 W. Vista Way, Suite 295",Vista,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1021,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"7320 Woodlake Ave., Suite 160, West Hills, CA (34.202771, -118.631973)","7320 Woodlake Ave., Suite 160",West Hills,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1022,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1250 S. Sunset Blvd., Suite 101, West Covina, CA (34.06043, -117.945861)","1250 S. Sunset Blvd., Suite 101",West Covina,CA,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1023,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"6450 Medical Center St., Las Vegas, NV (36.071129, -115.29162)",6450 Medical Center St.,Las Vegas,NV,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1024,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2904 W. Horizon Ridge Pkwy, Suite 200, Henderson, NV (35.999865, -115.113244)","2904 W. Horizon Ridge Pkwy, Suite 200",Henderson,NV,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1025,
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"5380 S. Rainbow Blvd., Suite 210, Las Vegas, NV (36.091123, -115.240983)","5380 S. Rainbow Blvd., Suite 210",Las Vegas,NV,FALSE,,,,,,,Disease-Specific & Episode-Based Models,,1026,
