Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Phase 1,Phase 2,Facebook,Twitter,Youtube,Website,Category,MSA_Name,Unique ID,Map Display,Latitude,Longitude
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"399 E. Highland Ave., Suite 501, San Bernardino, CA (34.135774, -117.27715)","399 E. Highland Ave., Suite 501",San Bernardino,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1009.0,,34.135774,-117.27715
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"4646 Brockton Ave., Suite 203, Riverside, CA (33.975671, -117.386171)","4646 Brockton Ave., Suite 203",Riverside,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1010.0,,33.975671,-117.386171
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"2876 Sycamore Dr., Suite 201, Simi Valley, CA (34.287877, -118.743237)","2876 Sycamore Dr., Suite 201",Simi Valley,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1011.0,,34.287877,-118.743237
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"999 N. Tustin Ave., Suite 212, Santa Ana, CA (33.753018, -117.832557)","999 N. Tustin Ave., Suite 212",Santa Ana,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1012.0,,33.753018,-117.832557
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"31515 Rancho Pueblo Rd., Suite 202, Temecula, CA (33.4789, -117.110576)","31515 Rancho Pueblo Rd., Suite 202",Temecula,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1013.0,,33.4789,-117.110576
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"425 Haaland Dr., Suite 103, Thousand Oaks, CA (34.175686, -118.869305)","425 Haaland Dr., Suite 103",Thousand Oaks,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1014.0,,34.175686,-118.869305
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"1060 E. Foothill Blvd., Suite 102, Upland, CA (34.106678, -117.637122)","1060 E. Foothill Blvd., Suite 102",Upland,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1015.0,,34.106678,-117.637122
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"10001 S. Eastern Ave., Suite 301, Henderson, NV (36.005378, -115.114385)","10001 S. Eastern Ave., Suite 301",Henderson,NV,False,,,,,,,Disease-Specific & Episode-Based Models,,1016.0,,36.005378,-115.114385
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"21605 Hawthorne Blvd., Suite 200, Torrance, CA (33.832025, -118.353419)","21605 Hawthorne Blvd., Suite 200",Torrance,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1017.0,,33.832025,-118.353419
Enhancing Oncology Model,The Oncology Institute CA a Professional Corporation,,"23861 McBean Pkwy, Suite E28, Valencia, CA (34.396357, -118.554757)","23861 McBean Pkwy, Suite E28",Valencia,CA,False,,,,,,,Disease-Specific & Episode-Based Models,,1018.0,,34.396357,-118.554757
